Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
C1,330nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,7.971,-37.52,0,top
C2,1.0µF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,2.091,-49.8,180,top
C3,1.0uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,12.016,-45.275,-90,top
C4,330nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,7.566,-22.15,-90,top
C5,330nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,7.901,-33.37,0,top
J2,Conn_01x03_Male,Molex_PicoBlade_53398-0371_1x03-1MP_P1.25mm_Vertical,3.116,-42.975,-90,top
J3,CJMCU-680,Molex_PicoBlade_53398-0671_1x06-1MP_P1.25mm_Vertical,3.066,-27.425,-90,top
R1,10K,R_0805_2012Metric,7.891,-28.25,0,top
R2,10K,R_0805_2012Metric,8.441,-18.425,0,top
R3,10K,R_0805_2012Metric,27.131,-49.38,0,top
R4,10K,R_0805_2012Metric,23.141,-45,0,top
R5,10K,R_0805_2012Metric,27.141,-45,0,top
R6,10K,R_0805_2012Metric,7.166,-46.6,-90,top
R7,10K,R_0805_2012Metric,11.091,-49.275,0,top
R8,10K,R_0805_2012Metric,16.621,-49.33,0,top
R9,220K,R_0805_2012Metric,21.871,-49.36,180,top
R10,100K,R_0805_2012Metric,15.141,-45,0,top
R11,10K,R_0805_2012Metric,19.141,-45,180,top
U1,ESP-12F,ESP-12E,19.391,-29,0,top
U2,AP2202-3V3,SOT-23-5,8.0785,-42.25,-90,top
